CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,DS_CONTA_CLEAN,NIVEL_CONTA,CD_CONTA_PAI,DS_CONTA_PAI
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,4.01,Lucro Líquido Consolidado do Período,15798039.0,S,lucro liquido consolidado periodo,2,4,
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,4.01,Lucro Líquido Consolidado do Período,8659577.0,S,lucro liquido consolidado periodo,2,4,
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,4.02,Outros Resultados Abrangentes,-7445739.0,S,outros resultados abrangentes,2,4,
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,4.02,Outros Resultados Abrangentes,-766624.0,S,outros resultados abrangentes,2,4,
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,4.02.01,Ganhos/(Perdas) Líquidos Não Realizados sobre Ativos Financeiros Disponíveis para Venda,-3108144.0,N,ganhos perdas liquidos realizados sobre ativos financeiros disponiveis venda,3,4.02,Outros Resultados Abrangentes
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,4.02.01,Ganhos/(Perdas) Líquidos Não Realizados sobre Ativos Financeiros Disponíveis para Venda,2045205.0,N,ganhos perdas liquidos realizados sobre ativos financeiros disponiveis venda,3,4.02,Outros Resultados Abrangentes
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,4.02.02,(Ganhos)/Perdas Líquidos Realizados sobre Ativos Financeiros Disponíveis para Venda,596247.0,N,ganhos perdas liquidos realizados sobre ativos financeiros disponiveis venda,3,4.02,Outros Resultados Abrangentes
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,4.02.02,(Ganhos)/Perdas Líquidos Realizados sobre Ativos Financeiros Disponíveis para Venda,-128063.0,N,ganhos perdas liquidos realizados sobre ativos financeiros disponiveis venda,3,4.02,Outros Resultados Abrangentes
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,4.02.03,Efeito Fiscal sobre Ativos Financeiros Disponíveis para Venda,435761.0,N,efeito fiscal sobre ativos financeiros disponiveis venda,3,4.02,Outros Resultados Abrangentes
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2016-01-01,2016-12-31,4.02.03,Efeito Fiscal sobre Ativos Financeiros Disponíveis para Venda,-339305.0,N,efeito fiscal sobre ativos financeiros disponiveis venda,3,4.02,Outros Resultados Abrangentes
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2015-01-01,2015-12-31,4.02.04,Ganhos/(Perdas) Sobre Ativos Financeiros Disponíveis p/ Venda - Coligadas / Joint Ventures,-251769.0,N,ganhos perdas sobre ativos financeiros disponiveis p venda coligadas joint ventures,3,4.02,Outros Resultados Abrangentes
