CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,DS_CONTA_CLEAN,NIVEL_CONTA,CD_CONTA_PAI,DS_CONTA_PAI
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2019-01-01,2019-12-31,4.01,Lucro ou Prejuízo Líquido do Período,17899349.0,S,lucro prejuizo liquido periodo,2,4,
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2020-01-01,2020-12-31,4.01,Lucro ou Prejuízo Líquido do Período,12512155.0,S,lucro prejuizo liquido periodo,2,4,
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2019-01-01,2019-12-31,4.02,Outros Resultados Abrangentes Próprios,-7261608.0,S,outros resultados abrangentes proprios,2,4,
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2020-01-01,2020-12-31,4.02,Outros Resultados Abrangentes Próprios,9435355.0,S,outros resultados abrangentes proprios,2,4,
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2019-01-01,2019-12-31,4.02.01,Valores que serão Reclassificados para o Resultado,815185.0,S,valores reclassificados resultado,3,4.02,Outros Resultados Abrangentes Próprios
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2020-01-01,2020-12-31,4.02.01,Valores que serão Reclassificados para o Resultado,1038008.0,S,valores reclassificados resultado,3,4.02,Outros Resultados Abrangentes Próprios
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2019-01-01,2019-12-31,4.02.01.01,Ganhos/perdas ñ realizados s/ ativos financeiros disponíveis p/ venda,1879300.0,N,ganhos perdas n realizados s ativos financeiros disponiveis p venda,4,4.02.01,Valores que serão Reclassificados para o Resultado
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2020-01-01,2020-12-31,4.02.01.01,Ganhos/perdas ñ realizados s/ ativos financeiros disponíveis p/ venda,-608341.0,N,ganhos perdas n realizados s ativos financeiros disponiveis p venda,4,4.02.01,Valores que serão Reclassificados para o Resultado
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2019-01-01,2019-12-31,4.02.01.02,Ganhos/perdas realizados s/ ativos financeiros disponíveis / venda,187208.0,N,ganhos perdas realizados s ativos financeiros disponiveis venda,4,4.02.01,Valores que serão Reclassificados para o Resultado
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2020-01-01,2020-12-31,4.02.01.02,Ganhos/perdas realizados s/ ativos financeiros disponíveis / venda,1708921.0,N,ganhos perdas realizados s ativos financeiros disponiveis venda,4,4.02.01,Valores que serão Reclassificados para o Resultado
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2019-01-01,2019-12-31,4.02.01.03,Efeito tributário s/ ativos financeiros disponíveis para venda,-522994.0,N,efeito tributario s ativos financeiros disponiveis venda,4,4.02.01,Valores que serão Reclassificados para o Resultado
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2020-01-01,2020-12-31,4.02.01.03,Efeito tributário s/ ativos financeiros disponíveis para venda,-26896.0,N,efeito tributario s ativos financeiros disponiveis venda,4,4.02.01,Valores que serão Reclassificados para o Resultado
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2019-01-01,2019-12-31,4.02.01.04,Ajustes de conversão de investimentos no exterior,-728329.0,N,ajustes conversao investimentos exterior,4,4.02.01,Valores que serão Reclassificados para o Resultado
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2020-01-01,2020-12-31,4.02.01.04,Ajustes de conversão de investimentos no exterior,-35676.0,N,ajustes conversao investimentos exterior,4,4.02.01,Valores que serão Reclassificados para o Resultado
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2019-01-01,2019-12-31,4.02.02,Valores que não serão Reclassificados o para o Resultado,-8076793.0,S,valores reclassificados resultado,3,4.02,Outros Resultados Abrangentes Próprios
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2020-01-01,2020-12-31,4.02.02,Valores que não serão Reclassificados o para o Resultado,8397347.0,S,valores reclassificados resultado,3,4.02,Outros Resultados Abrangentes Próprios
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2019-01-01,2019-12-31,4.02.02.01,Ganhos/perdas em remensurações de planos de benefícios,-16820887.0,N,ganhos perdas remensuracoes planos beneficios,4,4.02.02,Valores que não serão Reclassificados o para o Resultado
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2020-01-01,2020-12-31,4.02.02.01,Ganhos/perdas em remensurações de planos de benefícios,15269708.0,N,ganhos perdas remensuracoes planos beneficios,4,4.02.02,Valores que não serão Reclassificados o para o Resultado
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2019-01-01,2019-12-31,4.02.02.02,Efeito tributário em remensurações de planos de benefícios,8744094.0,N,efeito tributario remensuracoes planos beneficios,4,4.02.02,Valores que não serão Reclassificados o para o Resultado
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2020-01-01,2020-12-31,4.02.02.02,Efeito tributário em remensurações de planos de benefícios,-6872361.0,N,efeito tributario remensuracoes planos beneficios,4,4.02.02,Valores que não serão Reclassificados o para o Resultado
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2019-01-01,2019-12-31,4.03,Participação em Resultados Abrangentes de Invest. Avaliados pelo Método de Equivalência Patrimonial,134776.0,S,participacao resultados abrangentes invest avaliados metodo equivalencia patrimonial,2,4,
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2020-01-01,2020-12-31,4.03,Participação em Resultados Abrangentes de Invest. Avaliados pelo Método de Equivalência Patrimonial,-5796.0,S,participacao resultados abrangentes invest avaliados metodo equivalencia patrimonial,2,4,
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,PENÚLTIMO,2019-01-01,2019-12-31,4.03.01,Valores que serão Reclassificados para o Resultado,134776.0,S,valores reclassificados resultado,3,4.03,Participação em Resultados Abrangentes de Invest. Avaliados pelo Método de Equivalência Patrimonial
00.000.000/0001-91,2020-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Resultado Abrangente,REAL,MIL,ÚLTIMO,2020-01-01,2020-12-31,4.03.01,Valores que serão Reclassificados para o Resultado,-5796.0,S,valores reclassificados resultado,3,4.03,Participação em Resultados Abrangentes de Invest. Avaliados pelo Método de Equivalência Patrimonial
