CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,DS_CONTA_CLEAN,NIVEL_CONTA,CD_CONTA_PAI,DS_CONTA_PAI
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.01,Receitas,115183339.0,S,receitas,2,7,
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.01,Receitas,133949704.0,S,receitas,2,7,
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.01.01,Intermediação Financeira,103568863.0,S,intermediacao financeira,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.01.01,Intermediação Financeira,133845081.0,S,intermediacao financeira,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.01.02,Prestação de Serviços,15788652.0,S,prestacao servicos,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.01.02,Prestação de Serviços,16850135.0,S,prestacao servicos,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.01.03,Provisão/Reversão de Créds. Liquidação Duvidosa,-13670087.0,S,provisao reversao creds liquidacao duvidosa,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.01.03,Provisão/Reversão de Créds. Liquidação Duvidosa,-17814624.0,S,provisao reversao creds liquidacao duvidosa,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.01.04,Outras,9495911.0,S,outras,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.01.04,Outras,1069112.0,S,outras,3,7.01,Receitas
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.02,Despesas de Intermediação Financeira,-65074269.0,S,despesas intermediacao financeira,2,7,
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.02,Despesas de Intermediação Financeira,-92073950.0,S,despesas intermediacao financeira,2,7,
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.03,Insumos Adquiridos de Terceiros,-9066125.0,S,insumos adquiridos terceiros,2,7,
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.03,Insumos Adquiridos de Terceiros,-9598599.0,S,insumos adquiridos terceiros,2,7,
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.03.01,"Materiais, Energia e Outros",-460914.0,S,materiais energia outros,3,7.03,Insumos Adquiridos de Terceiros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.03.01,"Materiais, Energia e Outros",-486990.0,S,materiais energia outros,3,7.03,Insumos Adquiridos de Terceiros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.03.02,Serviços de Terceiros,-1908961.0,S,servicos terceiros,3,7.03,Insumos Adquiridos de Terceiros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.03.02,Serviços de Terceiros,-1847386.0,S,servicos terceiros,3,7.03,Insumos Adquiridos de Terceiros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.03.03,Perda/Recuperação de Valores Ativos,0.0,S,perda recuperacao valores ativos,3,7.03,Insumos Adquiridos de Terceiros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.03.03,Perda/Recuperação de Valores Ativos,0.0,S,perda recuperacao valores ativos,3,7.03,Insumos Adquiridos de Terceiros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.03.04,Outros,-6696250.0,S,outros,3,7.03,Insumos Adquiridos de Terceiros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.03.04,Outros,-7264223.0,S,outros,3,7.03,Insumos Adquiridos de Terceiros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.03.04.01,Comunicações,-1367701.0,N,comunicacoes,4,7.03.04,Outros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.03.04.01,Comunicações,-1456449.0,N,comunicacoes,4,7.03.04,Outros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.03.04.02,Processamento de Dados,-1119937.0,N,processamento dados,4,7.03.04,Outros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.03.04.02,Processamento de Dados,-1255145.0,N,processamento dados,4,7.03.04,Outros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.03.04.03,Transporte,-1147315.0,N,transporte,4,7.03.04,Outros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.03.04.03,Transporte,-1225382.0,N,transporte,4,7.03.04,Outros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.03.04.04,Serviços de Vigilância e Segurança,-818024.0,N,servicos vigilancia seguranca,4,7.03.04,Outros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.03.04.04,Serviços de Vigilância e Segurança,-981622.0,N,servicos vigilancia seguranca,4,7.03.04,Outros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.03.04.05,Serviços do Sistema Financeiro,-709261.0,N,servicos sistema financeiro,4,7.03.04,Outros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,ÚLTIMO,2014-01-01,2014-12-31,7.03.04.05,Serviços do Sistema Financeiro,-620111.0,N,servicos sistema financeiro,4,7.03.04,Outros
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Individual - Demonstração de Valor Adicionado,REAL,MIL,PENÚLTIMO,2013-01-01,2013-12-31,7.03.04.06,Propaganda e Publicidade,-371097.0,N,propaganda publicidade,4,7.03.04,Outros
