CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,DS_CONTA_CLEAN,NIVEL_CONTA,CD_CONTA_PAI,DS_CONTA_PAI
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,3.01,Receitas de Intermediação Financeira,130254642.0,S,receitas intermediacao financeira,2,3,
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.01,Receitas de Intermediação Financeira,229637958.0,S,receitas intermediacao financeira,2,3,
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,3.01.01,Operações de Crédito,84254592.0,N,operacoes credito,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.01.01,Operações de Crédito,113112904.0,N,operacoes credito,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,3.01.02,Operações de Arrendamento Mercantil,0.0,N,operacoes arrendamento mercantil,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.01.02,Operações de Arrendamento Mercantil,0.0,N,operacoes arrendamento mercantil,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,3.01.03,Resultado de Operações com TVM,42786793.0,N,resultado operacoes tvm,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.01.03,Resultado de Operações com TVM,109331847.0,N,resultado operacoes tvm,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,3.01.04,Resultado de IFD,1257206.0,N,resultado ifd,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.01.04,Resultado de IFD,-883493.0,N,resultado ifd,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,3.01.05,Resultado de Operações de Câmbio,-84759.0,N,resultado operacoes cambio,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.01.05,Resultado de Operações de Câmbio,897417.0,N,resultado operacoes cambio,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,3.01.06,Resultado das Aplicações Compulsórias,1966213.0,N,resultado aplicacoes compulsorias,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.01.06,Resultado das Aplicações Compulsórias,6343128.0,N,resultado aplicacoes compulsorias,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,3.01.07,Operações de venda ou de Transferência de Ativos Fin,-87853.0,N,operacoes venda transferencia ativos fin,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.01.07,Operações de venda ou de Transferência de Ativos Fin,382323.0,N,operacoes venda transferencia ativos fin,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,3.01.08,Resultado de outros ativos financeiros,162450.0,N,resultado outros ativos financeiros,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.01.08,Resultado de outros ativos financeiros,453832.0,N,resultado outros ativos financeiros,3,3.01,Receitas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,3.02,Despesas de Intermediação Financeira,-89177730.0,S,despesas intermediacao financeira,2,3,
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.02,Despesas de Intermediação Financeira,-179583757.0,S,despesas intermediacao financeira,2,3,
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,3.02.01,Operações de Captação no Mercado,-55310911.0,N,operacoes captacao mercado,3,3.02,Despesas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2022-01-01,2022-12-31,3.02.01,Operações de Captação no Mercado,-152713664.0,N,operacoes captacao mercado,3,3.02,Despesas de Intermediação Financeira
00.000.000/0001-91,2022-12-31,1,BCO BRASIL S.A.,1023,DF Individual - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2021-01-01,2021-12-31,3.02.02,"Operações de Empréstimos, Cessões e Repasses",-15481440.0,N,operacoes emprestimos cessoes repasses,3,3.02,Despesas de Intermediação Financeira
