CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,DS_CONTA_CLEAN,NIVEL_CONTA,CD_CONTA_PAI,DS_CONTA_PAI
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2013-12-31,1,Ativo Total,1162167882.0,S,ativo total,1,0,
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2014-12-31,1,Ativo Total,1278136948.0,S,ativo total,1,0,
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2013-12-31,1.01,Caixa e Equivalentes de Caixa,68841638.0,S,caixa equivalentes caixa,2,1,Ativo Total
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2014-12-31,1.01,Caixa e Equivalentes de Caixa,62078581.0,S,caixa equivalentes caixa,2,1,Ativo Total
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2013-12-31,1.01.01,Caixa e Depósitos Bancários,11386337.0,N,caixa depositos bancarios,3,1.01,Caixa e Equivalentes de Caixa
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2014-12-31,1.01.01,Caixa e Depósitos Bancários,13337180.0,N,caixa depositos bancarios,3,1.01,Caixa e Equivalentes de Caixa
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2013-12-31,1.01.02,Depósitos Interfinanceiros,37239341.0,N,depositos interfinanceiros,3,1.01,Caixa e Equivalentes de Caixa
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2014-12-31,1.01.02,Depósitos Interfinanceiros,35592524.0,N,depositos interfinanceiros,3,1.01,Caixa e Equivalentes de Caixa
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2013-12-31,1.01.03,Aplicações em Operações Compromissadas,20215960.0,N,aplicacoes operacoes compromissadas,3,1.01,Caixa e Equivalentes de Caixa
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2014-12-31,1.01.03,Aplicações em Operações Compromissadas,13148877.0,N,aplicacoes operacoes compromissadas,3,1.01,Caixa e Equivalentes de Caixa
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2013-12-31,1.01.04,Aplicações em Moeda Estrangeira,0.0,N,aplicacoes moeda estrangeira,3,1.01,Caixa e Equivalentes de Caixa
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2014-12-31,1.01.04,Aplicações em Moeda Estrangeira,0.0,N,aplicacoes moeda estrangeira,3,1.01,Caixa e Equivalentes de Caixa
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2013-12-31,1.02,Aplicações Financeiras,110019404.0,S,aplicacoes financeiras,2,1,Ativo Total
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2014-12-31,1.02,Aplicações Financeiras,106605119.0,S,aplicacoes financeiras,2,1,Ativo Total
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2013-12-31,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,109376121.0,S,aplicacoes financeiras avaliadas valor justo,3,1.02,Aplicações Financeiras
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2014-12-31,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,106245244.0,S,aplicacoes financeiras avaliadas valor justo,3,1.02,Aplicações Financeiras
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2013-12-31,1.02.01.01,Títulos para Negociação,18991047.0,S,titulos negociacao,4,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2014-12-31,1.02.01.01,Títulos para Negociação,12441262.0,S,titulos negociacao,4,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo
00.000.000/0001-91,2014-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,PENÚLTIMO,2013-12-31,1.02.01.02,Títulos Disponíveis para Venda,90385074.0,S,titulos disponiveis venda,4,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo
